0,1,2,3,4,5,6,7,8,Type
1.6786551,1.0378376,0.2518518,-1.9999998,-1.2704458,-0.93749994,1.0430096,0.0,0.0,1
-0.0037407607,-0.6486489,0.059259206,-0.11363651,0.3773632,0.10416669,0.096773304,0.0,1.2727273,1
1.7164683,-0.043243192,0.2148148,-1.2727271,-0.99371415,-0.8958333,1.5268813,0.0,0.0,1
0.29867497,0.42162192,0.2888888,-0.18181826,-1.0314485,-0.041666627,-0.3010759,0.0,2.9090908,2
-0.48769605,-0.75675637,0.0,1.181818,0.5660448,0.14583331,-0.5591401,0.0,0.8181819,2
0.29114836,0.17297277,0.30370378,-0.045454495,-0.5031477,-0.10416669,-0.34408662,0.0,0.0,2
0.026500812,0.30270234,-0.051851805,0.38636348,-0.93081707,0.041666627,0.20430055,0.0,0.0,3
2.064269,0.20540491,-0.10370379,-0.27272725,-0.5031477,0.08333337,0.24731125,0.0,0.0,7
-0.28353164,-0.42162192,0.07407401,-0.090909265,-0.21383467,0.10416669,0.20430055,0.0,0.0,3
1.448035,-0.21621597,0.12592599,-1.090909,-0.57861656,-0.7708333,1.3440856,0.0,1.5454546,1
0.0,-0.8648649,-0.5703704,-0.13636376,1.1572331,0.0,0.49462354,0.0,2.1818182,1
-0.84685415,0.9621623,-2.5777779,3.022727,0.76729816,-1.0,0.50537544,0.61,0.45454547,7
1.448035,-0.21621597,0.12592599,-1.090909,-0.7044011,-0.7708333,1.3440856,0.0,1.5454546,1
1.1191185,1.1999993,-2.5777779,1.522727,0.80503255,-1.1666666,-0.17204382,1.64,0.0,7
-0.12475212,-0.5081083,0.10370361,-0.13636376,0.012581333,0.062499937,0.10752623,0.0,0.0,1
-0.46502614,0.17297277,0.051851805,-0.22727275,0.0377344,0.25,-0.53763425,0.0,0.0,2
0.022714982,-0.43243194,0.0,-0.27272725,0.23899733,0.10416669,-0.043010697,0.09,2.0,1
3.6672976,-2.4108098,-2.5777779,-1.3636363,0.3773632,-1.1666666,6.838707,0.0,0.0,2
-0.68050295,-0.3999998,-0.037037004,0.11363624,0.62893224,0.2708333,-0.5913979,0.0,2.1818182,1
1.3535244,1.1567562,0.31111118,-1.1818181,-1.6100651,-1.1666666,0.9569883,0.0,0.0,3
-0.67671716,-0.4648651,0.029629603,1.2499998,0.10063147,0.2708333,-0.6774198,0.0,0.0,2
-2.4725528,4.464863,-2.5777779,-2.2954543,3.3081899,-1.1666666,-2.0967739,0.0,0.0,6
1.5236615,0.28108126,0.28148142,-1.0681818,-1.2452832,-0.68749994,1.010752,0.0,1.0,1
1.448035,-0.14054063,0.07407401,-1.0227273,-0.7295637,-0.68749994,1.3118268,0.0,1.4545454,1
1.1796016,0.5729726,-0.888889,0.18181798,-0.99371415,-0.14583331,1.3440856,0.0,1.5454546,2
-0.15877952,1.567567,-2.5777779,2.2499995,0.62893224,-1.1666666,0.37634334,0.66,0.0,7
